

DateTime: 2018-04-14 16:12:53
top - 16:12:53 up  1:20,  1 user,  load average: 0.38, 0.76, 0.88
Tasks: 224 total,   1 running, 223 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.1 us,  3.3 sy,  0.3 ni, 75.6 id,  6.6 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 16314700 total,  9199248 free,  2087996 used,  5027456 buff/cache
KiB Swap: 16659452 total, 16659452 free,        0 used. 13444628 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
71 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
72 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
73 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
75 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
76 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
81 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrc+
94 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
95 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_ma+
139 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
140 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
141 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
142 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
144 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
146 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 rtsx_pci_s+
150 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
178 root       0 -20       0      0      0 S   0.0  0.0   0:00.01 kworker/2:+
180 root      20   0       0      0      0 S   0.0  0.0   0:01.84 jbd2/sda5-8
181 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-c+
211 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
228 root       0 -20       0      0      0 S   0.0  0.0   0:00.08 kworker/0:+
229 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:+
234 root      20   0   35388   5816   5368 S   0.0  0.0   0:00.50 systemd-jo+
257 root      20   0   46184   5320   2988 S   0.0  0.0   0:01.66 systemd-ud+
336 root       0 -20       0      0      0 S   0.0  0.0   0:00.55 kworker/3:+
338 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmemstick
345 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 cfg80211
356 root     -51   0       0      0      0 S   0.0  0.0   0:14.68 irq/127-iw+
384 root       0 -20       0      0      0 S   0.0  0.0   0:00.80 kworker/u1+
403 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kvm-irqfd-+
469 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/103-EL+
697 systemd+  20   0  102384   2568   2356 S   0.0  0.0   0:00.08 systemd-ti+
776 root      20   0    4396   1272   1188 S   0.0  0.0   0:00.14 acpid
777 avahi     20   0   44904   3656   3260 S   0.0  0.0   0:00.13 avahi-daem+
794 root      20   0   29008   2976   2696 S   0.0  0.0   0:00.01 cron
800 root      20   0  337300   8556   6900 S   0.0  0.1   0:00.00 ModemManag+
802 root      20   0   93232   7556   6388 S   0.0  0.0   0:00.00 cupsd
814 root      20   0  166452   8976   8192 S   0.0  0.1   0:00.83 thermald
834 root      20   0  288308  22564  14096 S   0.0  0.1   0:00.03 snapd
836 message+  20   0   44404   5292   3504 S   0.0  0.0   0:02.80 dbus-daemon
856 root      20   0  458464  17776  13736 S   0.0  0.1   0:03.20 NetworkMan+
858 syslog    20   0  256392   3228   2676 S   0.0  0.0   0:00.12 rsyslogd
862 root      20   0   32116   4136   3788 S   0.0  0.0   0:00.04 bluetoothd
864 root      20   0   28628   3144   2768 S   0.0  0.0   0:00.16 systemd-lo+
869 root      20   0  275872   6252   5520 S   0.0  0.0   0:00.16 accounts-d+
963 root      20   0   19544   2248   1988 S   0.0  0.0   0:00.47 irqbalance
964 avahi     20   0   44784    336     12 S   0.0  0.0   0:00.00 avahi-daem+
965 root      20   0  274816   9380   8164 S   0.0  0.1   0:00.04 cups-brows+
